Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/26,NEFT-SALARY-CREDIT,1324512892309051,01/01/26,,45000.00,81937.00
01/02/26,UPI-KINGS CHENGALPATTU-Q016681294@YBL-YESB0YBLUPI-112150761861-UPI,3796009419462208,01/02/26,9995.00,,63228.00
01/02/26,NEFT-SALARY-CREDIT,6979464273275305,01/02/26,,45000.00,73223.00
01/03/26,UPI-AMIRDHALINGAM-9941429154@IOB-IOBA0002729-112202077154-UPI,8923092649145141,01/03/26,15.00,,51500.00
01/03/26,NEFT-SALARY-CREDIT,4414663326440100,01/03/26,,45000.00,51515.00
01/10/25,NEFT-SALARY-CREDIT,2002783120652701,01/10/25,,45000.00,51000.00
01/10/25,UPI-RISHI S KITCHEN-VYAPAR.168685757593@HDFCBANK-HDFC0MERUPI-112116086315-UPI,7633543228244457,01/10/25,125.00,,50875.00
01/10/25,UPI-STARBUCKS-COFFEE,7671341247540589,01/10/25,120.00,,50755.00
01/11/25,UPI-CHINNAMANI V VIJAYAS-Q216536427@YBL-YESB0YBLUPI-112285415693-UPI,5836600831901437,01/11/25,20.00,,90726.00
01/11/25,NEFT-SALARY-CREDIT,9488662960180973,01/11/25,,45000.00,90746.00
01/12/25,NEFT-SALARY-CREDIT,1455657795914725,01/12/25,,45000.00,121641.00
01/12/25,UPI-B KATHIRVEL-PAYTMQR6NTMD7@PTYS-YESB0PTMUPI-112224639753-UPI,7787516890243817,01/12/25,10.00,,121631.00
02/01/26,UPI-R NAGAPPAN-Q937431703@YBL-YESB0YBLUPI-112077729870-PETROL,3776541917694942,02/01/26,406.00,,81531.00
02/02/26,UPI-B KATHIRVEL-PAYTMQR6NTMD7@PTYS-YESB0PTMUPI-112078954687-UPI,3205345645898128,02/02/26,15.00,,63213.00
02/03/26,UPI-RISHI S KITCHEN-VYAPAR.168685757593@HDFCBANK-HDFC0MERUPI-112298218037-UPI,1737745823381712,02/03/26,10.00,,51490.00
03/01/26,UPI-EKKATTUTHANGAL  METR-SBIPMOPAD.022211900264326-YM537347@SBIPAY-SBIP0123456-112375085822-UPI,7143509237568364,03/01/26,35.00,,81496.00
03/03/26,UPI-CHINNAMANI V VIJAYAS-Q216536427@YBL-YESB0YBLUPI-112285415693-UPI,9574133406922117,03/03/26,25.00,,51465.00
03/10/25,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-112199135973-UPI,2969315922078042,03/10/25,5.00,,50750.00
03/12/25,UPI-GAYATHRI ELUMALAI-PAYTMQR6JL4NK@PTYS-YESB0PTMUPI-112215136317-UPI,4612251598207601,03/12/25,10.00,,121621.00
03/12/25,UPI-STARBUCKS-COFFEE,4413486095149192,03/12/25,120.00,,121501.00
04/01/26,UPI-ANANDA RAJ C-PAYTMQR6BMKYD@PTYS-YESB0PTMUPI-112052161754-UPI,8878713279948508,04/01/26,85.00,,81411.00
04/02/26,UPI-STARBUCKS-COFFEE,2751318337104650,04/02/26,160.00,,63023.00
04/02/26,UPI-RISHI S KITCHEN-VYAPAR.168685757593@HDFCBANK-HDFC0MERUPI-112298218037-UPI,8981610089107020,04/02/26,30.00,,63183.00
04/03/26,UPI-KALISHNATHAN-Q830612909@YBL-YESB0YBLUPI-112251693926-UPI,7793526038649712,04/03/26,85.00,,51380.00
04/03/26,UPI-STARBUCKS-COFFEE,3227331168583973,04/03/26,120.00,,51260.00
