Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/26,UPI-KALISHNATHAN-Q476908532@PTYS-YESB0YBLUPI-297594719776-UPI,6920833893198679,01/01/26,500.00,,64519.00
01/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR876962@PTYS-YESB0PTMUPI-198915919054-UPI,2937745493472929,01/01/26,884.00,,63635.00
01/01/26,UPI-ANANDA RAJ C-Q269016920@PTYS-YESB0YBLUPI-440891782309-UPI,9479445599826672,01/01/26,750.00,,62885.00
01/01/26,NEFT-SALARY-CREDIT,1260787267925058,01/01/26,,65000.00,65019.00
01/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR301158@PTYS-YESB0PTMUPI-831950243582-UPI,7738596143084908,01/12/25,508.00,,64128.00
01/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR631756@PTYS-INDB0MERCHA-831472807830-UPI,4624498532235524,01/12/25,538.00,,64636.00
01/12/25,NEFT-SALARY-CREDIT,3827499906473191,01/12/25,,65000.00,65174.00
02/01/26,UPI-HABIB RAHMAN-Q920511515@SBIPAY-YESB0YBLUPI-418925027836-UPI,1069621935197014,02/01/26,750.00,,59240.00
02/01/26,UPI-STARBUCKS-PAYTMQR284229@PTYS-SBIP0123456-517166676092-UPI,3072655455046878,02/01/26,665.00,,58575.00
02/01/26,UPI-RISHI S KITCHEN-PAYTMQR263137@PTYS-HDFC0MERUPI-929604758482-UPI,7070567119436803,02/01/26,752.00,,62133.00
02/01/26,UPI-ANANDA RAJ C-Q621475287@HDFCBANK-YESB0YBLUPI-587938676045-UPI,2941669988418349,02/01/26,1000.00,,61133.00
02/01/26,UPI-RISHI S KITCHEN-PAYTMQR461939@PTYS-HDFC0MERUPI-222105549288-UPI,7111260338794509,02/01/26,410.00,,60723.00
02/01/26,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR147623@PTYS-INDB0MERCHA-534738816383-UPI,1069235108098253,02/01/26,733.00,,59990.00
02/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR525800@PTYS-INDB0MERCHA-430714225291-UPI,4872085718763585,02/12/25,413.00,,63715.00
02/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR587575@PTYS-INDB0MERCHA-587228760932-UPI,5604244513858202,02/12/25,811.00,,62904.00
02/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR790855@PTYS-YESB0PTMUPI-409601839368-UPI,6701026475823926,02/12/25,647.00,,62257.00
03/01/26,IMPS-SELF-ICICI-341976367027,2514404519888075,03/01/26,3000.00,,45901.00
